state_index,split_group_id,split
188,1377,train
189,1387,train
190,1419,train
191,1429,train
192,1432,test
193,1445,train
194,1456,train
195,1469,train
196,1473,val
197,1478,train
198,1485,train
199,1506,train
200,1522,train
201,1528,train
202,1555,train
203,1556,train
204,1561,train
205,1589,train
206,1620,train
207,1637,test
208,1646,train
209,1680,train
210,1711,test
211,1720,train
212,1724,test
213,1730,train
214,1752,train
215,1768,train
216,1788,val
217,1793,train
218,1846,val
219,1855,train
220,1879,train
221,1880,train
222,1921,train
223,1929,train
224,1935,train
225,1941,test
226,1946,val
227,1950,val
228,1953,train
229,1984,train
230,1988,train
231,2031,train
232,2040,val
233,2043,train
234,2057,train
235,2062,test
236,2066,train
237,2071,train
238,2078,train
239,2080,test
240,2089,train
241,2099,train
242,2119,train
243,2138,train
244,2140,train
245,2157,val
246,2166,train
247,2170,train
248,2176,train
249,2192,train
250,2229,train
251,2240,val
252,2254,train
253,2268,train
254,2269,test
255,2280,train
256,2311,train
257,2343,train
258,2357,test
259,2360,train
260,2394,test
261,2395,train
262,2403,train
263,2425,train
264,2427,train
265,2434,val
266,2437,train
267,2441,val
268,2449,test
269,2464,train
270,2468,test
271,2518,train
272,2542,train
273,2568,train
274,2608,val
275,2628,train
276,2656,train
277,2669,train
278,2688,train
279,2704,train
280,2714,train
281,2718,val
282,2721,train
283,2737,train
284,2741,train
285,2743,train
286,2748,train
287,2770,train
288,2779,train
289,2783,train
290,2812,train
291,2817,train
292,2825,train
293,2841,train
294,2860,test
295,2866,val
296,2867,train
297,2873,train
298,2880,train
299,2908,train
300,2910,train
301,2914,val
302,2915,train
303,2917,train
304,2931,train
305,2943,train
306,2950,train
307,2960,train
308,2965,test
309,2969,train
310,2975,train
311,2979,train
312,2983,val
313,2985,train
314,3002,train
315,3013,train
316,3017,train
317,3021,val
318,3024,val
319,3066,test
320,3118,train
321,3140,train
322,3144,train
323,3159,train
324,3179,train
325,3188,train
326,3189,val
327,3200,train
328,3219,train
329,3249,train
330,3298,train
331,3311,train
332,3323,test
333,3324,train
334,3347,val
335,3355,train
336,3387,train
337,3405,train
338,3408,train
339,3417,train
340,3433,train
341,3445,train
342,3456,train
343,3472,val
344,3477,train
345,3484,test
346,3499,test
347,3509,train
348,3535,val
349,3548,train
350,3562,train
351,3573,train
352,3583,test
353,3584,train
354,3586,train
355,3594,train
356,3598,val
357,3611,train
358,3616,train
359,3617,train
360,3619,val
361,3650,train
362,3653,train
363,3671,test
364,3676,train
365,3678,train
366,3692,train
367,3698,train
368,3737,test
369,3741,test
370,3742,train
371,3745,train
372,3785,train
373,3792,test
374,3795,train
375,3841,train
376,3843,train
377,3864,val
378,3866,train
379,3879,val
380,3887,train
381,3896,val
382,3928,train
383,3962,train
384,3968,val
385,3988,train
386,3996,train
387,3998,train
388,4010,train
389,4018,train
390,4023,train
391,4036,train
392,4037,test
393,4072,train
394,4086,train
395,4102,test
396,4124,train
397,4137,train
398,4144,train
399,4157,train
400,4167,train
401,4174,train
402,4188,train
403,4189,train
404,4190,train
405,4204,train
406,4243,train
407,4258,train
408,4262,train
409,4267,train
410,4287,train
411,4294,train
412,4302,train
413,4317,val
414,4328,train
415,4333,train
416,4361,train
417,4363,train
418,4367,train
419,4405,train
420,4410,test
421,4419,val
422,4430,train
423,4458,train
424,4462,train
425,4481,train
426,4484,train
427,4493,train
428,4499,train
429,4509,train
430,4541,train
431,4549,train
432,4550,train
433,4559,train
434,4561,train
435,4582,train
436,4585,train
437,4591,train
438,4596,train
439,4597,train
440,4601,train
441,4609,train
442,4613,train
443,4620,val
444,4625,train
445,4626,train
446,4628,train
447,4662,train
448,4663,train
449,4672,val
450,4680,train
451,4688,train
452,4689,test
453,4691,train
454,4700,val
455,4703,test
456,4704,train
457,4711,test
458,4760,train
459,4775,train
460,4778,train
461,4791,train
462,4814,val
463,4839,test
464,4850,train
465,4865,train
466,4867,train
467,4892,val
468,4903,train
469,4929,train
470,4935,test
471,4945,train
472,4975,train
473,4991,train
474,4996,train
475,4998,train
476,5023,train
477,5024,train
478,5034,test
479,5037,train
480,5046,train
481,5067,train
482,5085,train
483,5086,train
484,5094,train
485,5103,train
486,5136,train
487,5141,train
488,5153,train
489,5159,train
490,5161,train
491,5162,train
492,5191,train
493,5200,train
494,5203,train
495,5224,train
496,5225,train
497,5226,train
498,5253,train
499,5276,train
500,5288,val
501,5303,train
502,5308,train
503,5312,train
504,5319,train
505,5320,train
506,5333,train
507,5338,train
508,5344,val
509,5348,train
510,5362,train
511,5364,train
512,5368,train
513,5378,train
514,5385,train
515,5394,train
516,5395,train
517,5412,train
518,5413,train
519,5419,train
520,5450,test
521,5462,train
522,5470,test
523,5471,train
524,5475,train
525,5485,train
526,5499,train
527,5563,train
528,5566,val
529,5592,train
530,5596,train
531,5618,train
532,5647,train
533,5659,test
534,5677,train
535,5682,train
536,5691,train
537,5712,train
538,5715,val
539,5716,train
540,5720,train
541,5721,train
542,5757,train
543,5760,train
544,5766,train
545,5770,train
546,5786,train
547,5815,train
548,5819,train
549,5880,train
550,5895,train
551,5900,train
552,5912,train
553,25,train
554,54,train
555,64,train
556,67,train
557,68,train
558,83,train
559,93,train
560,101,train
561,112,train
562,119,train
563,122,test
564,126,train
565,135,train
566,148,val
567,152,train
568,153,val
569,158,train
570,159,val
571,161,train
572,167,train
573,170,test
574,173,train
575,199,train
576,206,train
577,221,test
578,225,train
579,231,train
580,232,train
581,239,val
582,251,test
583,285,val
584,322,train
585,341,train
586,363,val
587,368,train
588,370,train
589,376,train
590,384,train
591,390,val
592,392,train
593,409,train
594,418,train
595,458,train
596,462,train
597,473,val
598,481,train
599,486,train
600,496,train
601,503,train
602,528,train
603,541,train
604,544,train
605,562,train
606,565,val
607,585,train
608,586,train
609,611,train
610,619,test
611,631,train
612,633,train
613,685,train
614,702,test
615,709,train
616,719,train
617,731,train
618,746,val
619,762,train
620,798,test
621,819,test
622,821,train
623,825,train
624,852,train
625,881,train
626,905,train
627,907,train
628,938,train
629,953,test
630,966,train
631,984,train
632,987,train
633,990,train
634,997,train
635,1022,val
636,1027,train
637,1028,train
638,1040,train
639,1078,train
640,1091,train
641,1105,train
642,1117,train
643,1140,train
644,1157,train
645,1166,train
646,1216,train
647,1273,train
648,1286,train
649,1300,train
650,1327,val
651,1329,train
652,1340,train
653,1344,train
654,1359,train
655,1370,train
656,1377,train
657,1404,train
658,1407,train
659,1419,train
660,1421,train
661,1429,train
662,1432,test
663,1434,val
664,1445,train
665,1459,train
666,1473,val
667,1478,train
668,1479,train
669,1487,train
670,1507,train
671,1535,val
672,1546,train
673,1555,train
674,1562,train
675,1563,train
676,1566,test
677,1570,val
678,1589,train
679,1624,train
680,1637,test
681,1641,train
682,1646,train
683,1674,test
684,1686,train
685,1699,val
686,1711,test
687,1724,test
688,1730,train
689,1734,train
690,1755,train
691,1768,train
692,1784,train
693,1813,train
694,1814,train
695,1819,train
696,1832,test
697,1855,train
698,1858,train
699,1861,train
700,1879,train
701,1914,train
702,1918,train
703,1921,train
704,1950,val
705,1958,train
706,1980,train
707,2007,test
708,2019,train
709,2072,train
710,2078,train
711,2086,train
712,2092,train
713,2098,train
714,2099,train
715,2119,train
716,2120,train
717,2143,train
718,2154,train
719,2161,test
720,2170,train
721,2200,train
722,2210,train
723,2222,train
724,2225,train
725,2246,train
726,2257,train
727,2262,train
728,2275,train
729,2296,val
730,2307,train
731,2311,train
732,2318,train
733,2337,test
734,2360,train
735,2380,train
736,2384,train
737,2394,test
738,2395,train
739,2400,train
740,2412,train
741,2424,train
742,2425,train
743,2437,train
744,2441,val
745,2444,train
746,2476,train
747,2514,train
748,2529,train
749,2542,train
750,2544,train
751,2568,train
752,2571,train
753,2575,train
754,2608,val
755,2609,train
756,2660,train
757,2666,test
758,2688,train
759,2703,train
760,2704,train
761,2713,train
762,2721,train
763,2728,train
764,2741,train
765,2743,train
766,2748,train
767,2758,train
768,2760,val
769,2790,train
770,2795,train
771,2822,train
772,2858,train
773,2859,train
774,2866,val
775,2873,train
776,2908,train
777,2911,train
778,2914,val
779,2915,train
780,2917,train
781,2933,val
782,2957,train
783,2962,train
784,2969,train
785,2994,train
786,3003,val
787,3004,train
788,3017,train
789,3018,train
790,3024,val
791,3045,val
792,3082,train
793,3107,train
794,3133,train
795,3144,train
796,3159,train
797,3161,test
798,3237,test
799,3267,train
800,3311,train
801,3324,train
802,3340,train
803,3344,train
804,3348,test
805,3355,train
806,3361,train
807,3369,train
808,3371,train
809,3408,train
810,3410,train
811,3416,val
812,3443,train
813,3456,train
814,3515,train
815,3522,train
816,3530,train
817,3534,train
818,3542,train
819,3547,train
820,3548,train
821,3554,val
822,3578,val
823,3584,train
824,3589,train
825,3590,train
826,3613,train
827,3617,train
828,3647,train
829,3653,train
830,3662,train
831,3671,test
832,3678,train
833,3701,train
834,3707,train
835,3730,train
836,3736,train
837,3737,test
838,3747,test
839,3750,train
840,3758,train
841,3782,train
842,3796,train
843,3798,val
844,3834,train
845,3837,train
846,3864,val
847,3866,train
848,3871,train
849,3887,train
850,3905,test
851,3943,train
852,3962,train
853,3988,train
854,3994,test
855,4005,train
856,4009,train
857,4033,train
858,4037,test
859,4065,train
860,4067,train
861,4085,train
862,4097,train
863,4111,train
864,4116,train
865,4137,train
866,4164,train
867,4189,train
868,4190,train
869,4218,test
870,4243,train
871,4258,train
872,4262,train
873,4279,train
874,4328,train
875,4336,val
876,4343,train
877,4375,train
878,4378,train
879,4383,train
880,4392,train
881,4403,train
882,4419,val
883,4422,test
884,4429,train
885,4434,test
886,4481,train
887,4486,test
888,4493,train
889,4509,train
890,4531,train
891,4541,train
892,4550,train
893,4582,train
894,4586,train
895,4601,train
896,4606,train
897,4625,train
898,4628,train
899,4638,val
900,4641,train
901,4644,train
902,4660,test
903,4688,train
904,4689,test
905,4695,train
906,4700,val
907,4703,test
908,4716,train
909,4751,val
910,4760,train
911,4782,train
912,4790,train
913,4803,train
914,4878,train
915,4879,train
916,4896,train
917,4904,test
918,4923,train
919,4935,test
920,4951,train
921,4963,test
922,4967,train
923,4975,train
924,4978,val
925,4979,train
926,4993,train
927,5004,train
928,5013,val
929,5016,train
930,5024,train
931,5045,test
932,5046,train
933,5057,train
934,5094,train
935,5105,train
936,5136,train
937,5141,train
938,5143,train
939,5154,train
940,5159,train
941,5162,train
942,5166,train
943,5173,test
944,5179,train
945,5190,train
946,5197,test
947,5200,train
948,5203,train
949,5206,train
950,5215,train
951,5271,train
952,5286,train
953,5288,val
954,5303,train
955,5304,train
956,5312,train
957,5333,train
958,5338,train
959,5344,val
960,5368,train
961,5383,train
962,5394,train
963,5417,train
964,5470,test
965,5473,train
966,5478,train
967,5497,train
968,5513,train
969,5519,train
970,5563,train
971,5596,train
972,5601,train
973,5614,train
974,5627,train
975,5655,train
976,5680,val
977,5705,train
978,5712,train
979,5716,train
980,5720,train
981,5721,train
982,5725,train
983,5734,train
984,5757,train
985,5760,train
986,5769,train
987,5777,train
988,5787,test
989,5790,train
990,5819,train
991,5840,val
992,5841,train
993,5842,train
994,5868,train
995,5869,val
996,5900,train
997,5921,train
998,5950,train
999,5966,train
